index,keyword,quantity,time
0,광진구,1000,0 days 00:00:00.000000000
0,광진구,1000,0 days 00:00:00.000000000
0,광진구,30,0 days 00:00:30.432059000
0,광진구,1000,0 days 00:00:00.000000000
0,광진구,30,0 days 00:00:29.585506000
0,광진구 경제,1000,0 days 00:25:58.948956000
0,광진구 교통,1000,0 days 00:07:08.734002000
0,광진구 교통,1000,0 days 00:07:27.111002000
0,광진구 경제,1000,0 days 00:30:29.745054000
0,광진구 취업,1000,0 days 00:48:23.450581000
0,광진구 취업,1000,0 days 00:50:34.205741000
0,광진구 안전,1000,0 days 00:31:22.045352000
0,광진구 교육,1000,0 days 00:31:13.496397000
0,광진구 환경,1000,0 days 00:36:11.172416000
0,광진구 경제,1000,0 days 01:21:47.802397000
0,광진구 교육,1000,0 days 01:20:49.577194000
0,광진구 안전,1000,0 days 01:22:49.414326000
0,광진구 환경,1000,0 days 01:29:49.419490000
0,광진구 교통,1000,0 days 01:34:35.656801000
0,성동구,1000,0 days 00:26:34.336492000
0,광진구,1000,0 days 01:28:07.504903000
0,고려은단 비타민C,1000,0 days 00:00:01.669000000
0,고려은단 비타민C,1000,0 days 00:26:53.930108000
0,고려은단 비타민C,1000,0 days 00:29:13.738613000
0,고려은단 비타민C,1000,0 days 00:00:06.709056000
0,고려은단 비타민C,1000,0 days 00:00:01.798190000
0,고려은단 비타민C,1000,0 days 00:00:01.293542000
0,고려은단 비타민C,1000,0 days 00:44:35.286712000
0,고려은단 비타민C,1000,0 days 00:48:21.697688000
0,고려은단 비타민C,1000,0 days 01:05:22.711553000
0,고려은단 비타민C,1000,0 days 01:10:04.616541000
0,비타민B,100,0 days 00:00:00.695999000
0,비타민B,100,0 days 00:00:21.668525000
0,비타민B,5000,0 days 00:01:40.733990000
0,비타민B,5000,0 days 00:01:09.527150000
0,비타민B,5000,0 days 00:03:59.191510000
